award,describe,evaluate,instruce,movie_name,serial_number,start
"第54届戛纳电影节法国文化奖-年度外国电影人姜文,第53届戛纳电影节主竞赛单元金棕榈奖(提名)姜文,第53届戛纳电影节主竞赛单元评审团大奖姜文",对敌人的仁慈，就是对自己残忍。,450995人评价,2000/中国大陆/剧情喜剧,鬼子来了,38,9.2
"第34届韩国电影青龙奖最佳影片,第50届百想艺术大赏电影类最佳影片(提名)李濬益,第51届韩国电影大钟奖最佳影片(提名)",受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,458246人评价,2013/韩国/剧情,素媛,39,9.2
,对天空的追逐，永不停止。 ,621323人评价,1986/日本/动画奇幻冒险,天空之城,40,9.1
"第78届奥斯卡金像奖最佳动画长片(提名)宫崎骏,第61届威尼斯电影节主竞赛单元金狮奖(提名)宫崎骏,第25届香港电影金像奖最佳亚洲电影(提名)",带着心爱的人在天空飞翔。,716856人评价,2004/日本/动画奇幻冒险,哈尔的移动城堡,41,9.1
第15届香港电影金像奖最佳编剧(提名)刘镇伟,旷古烁今。,885257人评价,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之月光宝盒,42,9.0
"第62届奥斯卡金像奖最佳外语片,第42届戛纳电影节主竞赛单元金棕榈奖(提名)朱塞佩·托纳多雷,第14届日本电影学院奖最佳外语片(提名)",那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,483005人评价,1988/意大利法国/剧情爱情,天堂电影院,43,9.2
"第74届奥斯卡金像奖最佳艺术指导(提名)斯蒂芬妮·麦克米兰斯图尔特·克莱格,第25届日本电影学院奖最佳外语片(提名),第12届美国电影学会奖特别表彰",童话世界的开端。,690450人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,44,9.0
"第26届奥斯卡金像奖最佳影片(提名)威廉·惠勒,第14届威尼斯电影节主竞赛单元金狮奖(提名)威廉·惠勒,第11届金球奖电影类剧情片最佳女主角奥黛丽·赫本",爱情哪怕只有一天。,717091人评价,1953/美国/喜剧剧情爱情,罗马假日,45,9.0
"第65届奥斯卡金像奖最佳影片(提名)马丁·布莱斯特,第65届奥斯卡金像奖最佳导演(提名)马丁·布莱斯特,第47届英国电影学院奖电影奖最佳改编剧本(提名)博·古德曼",史上最美的探戈。,624616人评价,1992/美国/剧情,闻香识女人,46,9.1
"第35届韩国电影青龙奖最佳影片,第8届亚洲电影大奖最佳男主角(提名)宋康昊,第50届百想艺术大赏电影类大赏宋康昊",电影的现实意义大过电影本身。,448379人评价,2013/韩国/剧情,辩护人,47,9.2
"第55届台北金马影展金马奖最佳剧情片(提名),第38届香港电影金像奖最佳两岸华语电影文牧野,第32届中国电影金鸡奖最佳故事片(提名)",对我们国家而言，这样的电影多一部是一部。,1532301人评价,2018/中国大陆/剧情喜剧,我不是药神,48,9.0
第72届奥斯卡金像奖最佳音效剪辑(提名)伦·克斯理查德·姆尼斯,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,642186人评价,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,49,9.0
"第62届奥斯卡金像奖最佳影片(提名)保罗·乔恩格·威特托尼·托马斯史蒂文·哈夫特,第62届奥斯卡金像奖最佳导演(提名)彼得·威尔,第62届奥斯卡金像奖最佳男主角(提名)罗宾·威廉姆斯",当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,509357人评价,1989/美国/剧情,死亡诗社,50,9.1
"第47届奥斯卡金像奖最佳影片弗雷德·鲁斯弗朗西斯·福特·科波拉加里·弗雷德里克森,第47届奥斯卡金像奖最佳导演弗朗西斯·福特·科波拉,第47届奥斯卡金像奖最佳男主角(提名)阿尔·帕西诺",优雅的孤独。,378135人评价,1974/美国/剧情犯罪,教父2,51,9.2
"第67届奥斯卡金像奖最佳原创配乐汉斯·季默,第48届英国电影学院奖电影奖最佳原创音乐(提名)汉斯·季默,第22届动画安妮奖最佳动画长片",动物版《哈姆雷特》。,589826人评价,1994/美国/动画冒险歌舞,狮子王,52,9.0
"第75届奥斯卡金像奖最佳影片(提名)巴里·M·奥斯本彼得·杰克逊弗兰·威尔士,第60届金球奖电影类最佳剧情片(提名),第56届英国电影学院奖电影奖最佳影片(提名)巴里·M·奥斯本彼得·杰克逊弗兰·威尔士",承前启后的史诗篇章。,504989人评价,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,53,9.1
,经典之作，历久弥新。,283915人评价,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,54,9.3
"第75届奥斯卡金像奖最佳男配角(提名)克里斯托弗·沃肯,第60届金球奖电影类剧情片最佳男主角(提名)莱昂纳多·迪卡普里奥,第56届英国电影学院奖电影奖最佳男配角克里斯托弗·沃肯",骗子大师和执著警探的你追我跑故事。 ,593349人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,55,9.0
"第79届奥斯卡金像奖最佳外语片弗洛里安·亨克尔·冯·多纳斯马尔克,第64届金球奖电影类最佳外语片(提名),第61届英国电影学院奖电影奖最佳影片(提名)奎林·柏格马克斯·威德曼",别样人生。,418505人评价,2006/德国/剧情悬疑,窃听风暴,56,9.1
"第74届奥斯卡金像奖最佳影片(提名)巴里·M·奥斯本彼得·杰克逊弗兰·威尔士,第59届金球奖电影类最佳剧情片(提名),第26届日本电影学院奖最佳外语片(提名)",传说的开始。,568249人评价,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,57,9.0
"第75届奥斯卡金像奖最佳影片(提名)罗曼·波兰斯基罗伯特·本穆萨阿兰·萨德,第55届戛纳电影节主竞赛单元金棕榈奖罗曼·波兰斯基,第60届金球奖电影类最佳剧情片(提名)",音乐能化解仇恨。,381201人评价,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,58,9.2
"第74届奥斯卡金像奖最佳影片朗·霍华德布莱恩·格雷泽,第59届金球奖电影类最佳剧情片,第2届美国电影学会奖年度佳片",爱是一切逻辑和原由。,552933人评价,2001/美国/传记剧情,美丽心灵,59,9.0
"第11届东京国际电影节主竞赛单元最佳影片(提名)盖·里奇,第11届东京国际电影节主竞赛单元最佳导演盖·里奇",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,447460人评价,1998/英国/剧情喜剧犯罪,两杆大烟枪,60,9.1
"第72届奥斯卡金像奖最佳剪辑扎克·斯伯格,第53届英国电影学院奖电影奖最佳摄影(提名)比尔·波普,第23届日本电影学院奖最佳外语片(提名)",视觉革命。,571111人评价,1999/美国澳大利亚/动作科幻,黑客帝国,61,9.0
"第67届奥斯卡金像奖最佳外语片(提名),第31届台北金马影展金马奖最佳剧情片(提名),第48届英国电影学院奖电影奖最佳非英语片(提名)徐立功李安",人生不能像做菜，把所有的料都准备好了才下锅。,415579人评价,1994/中国台湾美国/剧情家庭,饮食男女,62,9.1
"第48届奥斯卡金像奖最佳影片索尔·扎恩兹迈克尔·道格拉斯,第48届奥斯卡金像奖最佳导演米洛斯·福尔曼,第48届奥斯卡金像奖最佳男主角杰克·尼科尔森",自由万岁。,437436人评价,1975/美国/剧情,飞越疯人院,63,9.1
"第81届奥斯卡金像奖最佳影片(提名)切安·查芬凯瑟琳·肯尼迪弗兰克·马歇尔,第66届金球奖电影类最佳剧情片(提名),第18届MTV电影奖MTV电影奖最佳女演员(提名)塔拉吉·P·汉森",在时间之河里感受溺水之苦。,721459人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,64,8.9
